motif_archetype	calderon_celltype	analysis_set	n_total	n_high	n_low	n_overlap	n_high_overlap	n_high_not_overlap	n_low_overlap	n_low_not_overlap	firth_status	converged	iterations	coefficient	standard_error	p_value	odds_ratio	ci_lower_95	ci_upper_95	log_likelihood_penalized	warning_text	model_context	analysis_version	pooling_strategy	global_fdr	cell_fdr
KLF_SP_2	Follicular_T_Helper	strict_primary	2061	12	2049	2	0	12	2	2047	firth_fit_ok	True	11.0	3.45410626307385		0.125314590940132	31.6300071406722	0.217702748329752	455.749096691635	-72.0449820913439		Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction	0.261831745494168	0.184286163147253
KLF_SP_3	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
LEF1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
LIN54	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
MAF	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
MBD2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
MECP2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
MEF2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
MFZ1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
MIES	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
MTF1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
MYB_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
MYB_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
MYB_3	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
MYB_4	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
MYB_5	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
MZF1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NFAC_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NFAT_1	Follicular_T_Helper	strict_primary	2061	12	2049	1	0	12	1	2048	firth_fit_ok	True	11.0	4.28682185824202		0.0773908045140078	72.734938831098	0.480565839101282	1503.20700809877	-72.3908821485606		Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction	0.253805468428383	0.167660685138141
NFAT_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NFAT_3	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NFAT_4	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NFI_1	Follicular_T_Helper	strict_primary	2061	12	2049	1	0	12	1	2048	firth_fit_ok	True	11.0	2.9503885251376		0.176163577026953	19.1133783137586	0.125236224286763	404.061644686335	-72.3921533964369		Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction	0.304502677816348	0.2230657469567
NFI_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NFI_3	Follicular_T_Helper	strict_primary	2061	12	2049	1	0	12	1	2048	firth_fit_ok	True	11.0	4.26659464364233		0.0788641074357775	71.278493190925	0.465688494294283	1519.55787878531	-72.3910128609994		Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction	0.253805468428383	0.167660685138141
NFKB_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NFKB_2	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NFKB_3	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NFY	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NR2E3	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NRF1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NR_1	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NR_10	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NR_11	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NR_12	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NR_13	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NR_14	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NR_15	Follicular_T_Helper	strict_primary	2061	12	2049	1	0	12	1	2048	firth_fit_ok	True	11.0	2.19727585143416		0.295265336287902	9.00046147871232	0.0539096581245493	241.887929068846	-72.3930672503522		Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction	0.399243183206491	0.320940582921633
NR_16	Follicular_T_Helper	strict_primary	2061	12	2049	2	0	12	2	2047	firth_fit_ok	True	11.0	4.04553133555938		0.087292934469404	57.1415393012941	0.393814763716206	854.004056485253	-72.0452557162789		Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction	0.253805468428383	0.167660685138141
NR_17	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
NR_18	Follicular_T_Helper	strict_primary	2061	12	2049	0	0	12	0	2049	skip_motif_no_variation	False										Follicular_T_Helper	existing_single_source	single_source_no_pooling_correction		
